threshold,p_geq,count_geq,total_valid
-0.2,1.0,9344,9344
-0.15000000000000002,1.0,9344,9344
-0.1,0.9902611301369864,9253,9344
-0.04999999999999999,0.9570847602739726,8943,9344
0.0,0.9319349315068494,8708,9344
0.04999999999999999,0.910423801369863,8507,9344
0.10000000000000003,0.8494220890410958,7937,9344
0.15000000000000002,0.7712970890410958,7207,9344
0.2,0.7092251712328768,6627,9344
0.25,0.653681506849315,6108,9344
0.3,0.6005993150684932,5612,9344
0.35000000000000003,0.5454837328767124,5097,9344
0.4000000000000001,0.4868364726027397,4549,9344
0.45,0.4134203767123288,3863,9344
0.5,0.3278039383561644,3063,9344
0.55,0.2222816780821918,2077,9344
0.6000000000000001,0.1285316780821918,1201,9344
0.6500000000000001,0.05832619863013699,545,9344
0.7,0.016160102739726026,151,9344
0.75,0.0027825342465753423,26,9344
0.8,0.0,0,9344
